   text	   data	    bss	    dec	    hex	filename
   1883	    856	      8	   2747	    abb	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/mm/hwpoison-inject.ko
   7074	   1044	      0	   8118	   1fb6	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/mm/z3fold.ko
   2543	    980	     40	   3563	    deb	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/llc/llc.ko
  54736	  13100	   1024	  68860	  10cfc	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/llc/llc2.ko
  47207	  11130	     16	  58353	   e3f1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ieee802154/ieee802154.ko
   8017	   2512	     32	  10561	   2941	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ieee802154/ieee802154_socket.ko
  10971	   2169	    160	  13300	   33f4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ieee802154/6lowpan/ieee802154_6lowpan.ko
  17636	    864	     24	  18524	   485c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/bpfilter/bpfilter.ko
  18737	   2168	   2264	  23169	   5a81	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/phonet/phonet.ko
  13997	   1660	      0	  15657	   3d29	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/phonet/pn_pep.ko
   3455	   1008	      0	   4463	   116f	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_cdg.ko
   1058	    984	      0	   2042	    7fa	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_yeah.ko
   1921	    888	      0	   2809	    af9	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tunnel4.ko
   1194	    940	      0	   2134	    856	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/xfrm4_mode_beet.ko
   5032	    984	      0	   6016	   1780	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_bbr.ko
   1157	    984	      0	   2141	    85d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_westwood.ko
   8736	   1080	      4	   9820	   265c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/fou.ko
   2156	    992	      0	   3148	    c4c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_htcp.ko
   1922	   1004	      4	   2930	    b72	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_bic.ko
  16561	   1665	      0	  18226	   4732	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/ip_gre.ko
   1451	    916	      0	   2367	    93f	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/xfrm4_mode_tunnel.ko
  11574	    857	      0	  12431	   308f	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/ip_tunnel.ko
   2504	    832	      0	   3336	    d08	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/udp_tunnel.ko
   1817	    848	      0	   2665	    a69	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/gre.ko
   1247	    832	      0	   2079	    81f	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_diag.ko
    427	    984	      0	   1411	    583	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_scalable.ko
   1930	    845	      0	   2775	    ad7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/raw_diag.ko
   2470	    844	      0	   3314	    cf2	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/udp_diag.ko
   2594	    844	      0	   3438	    d6e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/esp4_offload.ko
   2752	   1068	      0	   3820	    eec	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_nv.ko
   4967	   1292	      0	   6259	   1873	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/ip_vti.ko
   1235	    984	      0	   2219	    8ab	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_highspeed.ko
   1125	    988	      0	   2113	    841	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_hybla.ko
   5709	    940	      0	   6649	   19f9	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/ah4.ko
   1204	   1064	      0	   2268	    8dc	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_lp.ko
   1185	    960	      0	   2145	    861	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/arpt_mangle.ko
    838	    832	      0	   1670	    686	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_dup_ipv4.ko
   1174	   1152	      2	   2328	    918	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_nat_proto_gre.ko
    625	    832	      0	   1457	    5b1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nft_chain_nat_ipv4.ko
  13532	   1432	      0	  14964	   3a74	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ip_tables.ko
   7024	   1364	      0	   8388	   20c4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ipt_CLUSTERIP.ko
   4090	    960	      0	   5050	   13ba	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ipt_SYNPROXY.ko
   1213	   1000	      0	   2213	    8a5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ipt_ECN.ko
    372	    888	      0	   1260	    4ec	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_flow_table_ipv4.ko
   1024	    888	      0	   1912	    778	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/iptable_nat.ko
    832	    896	      0	   1728	    6c0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/iptable_security.ko
    968	    904	      0	   1872	    750	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/iptable_filter.ko
    815	    928	      0	   1743	    6cf	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_defrag_ipv4.ko
   1218	    920	      0	   2138	    85a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_log_arp.ko
   3452	    920	      0	   4372	   1114	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_log_ipv4.ko
    918	   1064	      0	   1982	    7be	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ipt_REJECT.ko
    580	    896	      0	   1476	    5c4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nft_reject_ipv4.ko
   1056	   1280	      0	   2336	    920	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ipt_ah.ko
   2844	   1660	      0	   4504	   1198	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_nat_pptp.ko
   1768	    936	      0	   2704	    a90	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_tproxy_ipv4.ko
   1792	    832	      0	   2624	    a40	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_reject_ipv4.ko
    722	    896	      0	   1618	    652	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nft_masq_ipv4.ko
   1006	    896	      0	   1902	    76e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/iptable_mangle.ko
   6554	   1748	      0	   8302	   206e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_nat_h323.ko
    689	    896	      0	   1585	    631	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nft_redir_ipv4.ko
   4431	    936	      8	   5375	   14ff	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_nat_ipv4.ko
    837	    896	      0	   1733	    6c5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nft_dup_ipv4.ko
   1971	    908	      0	   2879	    b3f	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nft_fib_ipv4.ko
   1288	   1064	      0	   2352	    930	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ipt_rpfilter.ko
    708	    832	      0	   1540	    604	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nft_chain_route_ipv4.ko
   1067	    897	      0	   1964	    7ac	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/iptable_raw.ko
  11960	   1244	      0	  13204	   3394	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/arp_tables.ko
   6512	   1916	      0	   8428	   20ec	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_conntrack_ipv4.ko
    816	    896	      0	   1712	    6b0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/arptable_filter.ko
   1653	   1068	      4	   2725	    aa5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_nat_snmp_basic.ko
    868	   1120	      0	   1988	    7c4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/ipt_MASQUERADE.ko
   1374	    832	      0	   2206	    89e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/netfilter/nf_socket_ipv4.ko
   1024	    928	      0	   1952	    7a0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/xfrm4_mode_transport.ko
   1827	   1156	      0	   2983	    ba7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_dctcp.ko
   1259	    896	      0	   2155	    86b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/xfrm4_tunnel.ko
   9560	    948	      8	  10516	   2914	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/inet_diag.ko
    974	    984	      0	   1958	    7a6	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_veno.ko
   6629	   1317	      8	   7954	   1f12	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/ipip.ko
   8250	   1008	      0	   9258	   242a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/esp4.ko
   1592	    996	      0	   2588	    a1c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_vegas.ko
   1618	    880	      0	   2498	    9c2	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/ipcomp.ko
   1545	    992	      0	   2537	    9e9	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv4/tcp_illinois.ko
  15578	   2704	     16	  18298	   477a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/l2tp/l2tp_core.ko
   9591	    976	     96	  10663	   29a7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/l2tp/l2tp_netlink.ko
   3926	    844	     16	   4786	   12b2	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/l2tp/l2tp_debugfs.ko
   6708	   1556	     24	   8288	   2060	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/l2tp/l2tp_ip6.ko
   3521	   1040	      0	   4561	   11d1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/l2tp/l2tp_eth.ko
   5230	   1556	     24	   6810	   1a9a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/l2tp/l2tp_ip.ko
  14126	   1748	      4	  15878	   3e06	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/l2tp/l2tp_ppp.ko
  11181	   3440	     32	  14653	   393d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/bluetooth/bluetooth_6lowpan.ko
  13803	   2784	     24	  16611	   40e3	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/bluetooth/hidp/hidp.ko
 368211	  67100	    264	 435575	  6a577	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/bluetooth/bluetooth.ko
  10968	   3220	     24	  14212	   3784	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/bluetooth/bnep/bnep.ko
  41102	  12480	     80	  53662	   d19e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/bluetooth/rfcomm/rfcomm.ko
  12519	   3628	     24	  16171	   3f2b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/bluetooth/cmtp/cmtp.ko
  31354	   1992	     24	  33370	   825a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/dsa/dsa_core.ko
   2203	   1004	      4	   3211	    c8b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/wireless/lib80211.ko
   2619	    968	      0	   3587	    e03	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/wireless/lib80211_crypt_wep.ko
 431992	  94592	   2488	 529072	  812b0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/wireless/cfg80211.ko
   7504	   1328	      0	   8832	   2280	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/wireless/lib80211_crypt_tkip.ko
   3679	   1192	      0	   4871	   1307	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/wireless/lib80211_crypt_ccmp.ko
  31370	   2400	    120	  33890	   8462	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/netrom/netrom.ko
 106578	   3823	     48	 110449	  1af71	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/openvswitch/openvswitch.ko
    565	    904	      0	   1469	    5bd	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/openvswitch/vport-gre.ko
    729	    904	      0	   1633	    661	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/openvswitch/vport-geneve.ko
   1232	    904	      0	   2136	    858	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/openvswitch/vport-vxlan.ko
 245906	  22303	    244	 268453	  418a5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sctp/sctp.ko
   3812	    868	      0	   4680	   1248	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sctp/sctp_diag.ko
  23390	   1676	      4	  25070	   61ee	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/key/af_key.ko
   4935	   1408	     16	   6359	   18d7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/vmw_vsock/vmw_vsock_virtio_transport.ko
   1307	    832	      0	   2139	    85b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/vmw_vsock/vsock_diag.ko
  15000	   1444	   8108	  24552	   5fe8	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/vmw_vsock/vsock.ko
  14925	    912	     60	  15897	   3e19	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/vmw_vsock/vmw_vsock_vmci_transport.ko
   3762	   1360	      0	   5122	   1402	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/vmw_vsock/hv_sock.ko
  11692	   3176	      0	  14868	   3a14	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/vmw_vsock/vmw_vsock_virtio_transport_common.ko
   1942	    892	      0	   2834	    b12	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/nsh/nsh.ko
   2537	    844	      0	   3381	    d35	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/unix/unix_diag.ko
   2377	   1052	      4	   3433	    d69	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/psample/psample.ko
    881	    956	      0	   1837	    72d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/mpls/mpls_gso.ko
   2326	    900	      0	   3226	    c9a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/mpls/mpls_iptunnel.ko
  19433	   1275	      4	  20712	   50e8	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/mpls/mpls_router.ko
   6276	   2076	      0	   8352	   20a0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/caif/chnl_net.ko
   8642	   1624	      0	  10266	   281a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/caif/caif_socket.ko
   1816	   1072	      1	   2889	    b49	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/caif/caif_usb.ko
  32599	   2200	     20	  34819	   8803	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/caif/caif.ko
   2043	    856	      0	   2899	    b53	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/packet/af_packet_diag.ko
 228154	  25322	  11464	 264940	  40aec	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sunrpc/sunrpc.ko
 113996	  46989	     88	 161073	  27531	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sunrpc/xprtrdma/rpcrdma.ko
  24917	   1292	     16	  26225	   6671	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sunrpc/auth_gss/rpcsec_gss_krb5.ko
  43273	   1160	    496	  44929	   af81	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sunrpc/auth_gss/auth_rpcgss.ko
   2239	    988	      4	   3231	    c9f	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/xfrm6_tunnel.ko
    972	    832	      0	   1804	    70c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/fou6.ko
   1552	    880	      0	   2432	    980	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/tunnel6.ko
   1134	    928	      0	   2062	    80e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/xfrm6_mode_beet.ko
  15427	   1355	      0	  16782	   418e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/sit.ko
   1197	    832	      0	   2029	    7ed	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/ip6_udp_tunnel.ko
  20263	   1409	      0	  21672	   54a8	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/ip6_tunnel.ko
   1713	    872	      0	   2585	    a19	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/ipcomp6.ko
    586	    928	      0	   1514	    5ea	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/xfrm6_mode_ro.ko
   8103	    988	      0	   9091	   2383	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/esp6.ko
   8689	   1292	      0	   9981	   26fd	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/ip6_vti.ko
  10230	   1128	      8	  11366	   2c66	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/ila/ila.ko
  23723	   1829	      0	  25552	   63d0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/ip6_gre.ko
   5400	    988	      0	   6388	   18f4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/ah6.ko
   2314	   2048	      0	   4362	   110a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_frag.ko
  14089	   1432	      0	  15521	   3ca1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6_tables.ko
    720	    896	      0	   1616	    650	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nft_masq_ipv6.ko
    372	    888	      0	   1260	    4ec	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_flow_table_ipv6.ko
    554	    960	      0	   1514	    5ea	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_eui64.ko
   1891	    936	      0	   2827	    b0b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_tproxy_ipv6.ko
   4270	    960	      0	   5230	   146e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_SYNPROXY.ko
    834	    896	      0	   1730	    6c2	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6table_security.ko
   2360	    908	      0	   3268	    cc4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nft_fib_ipv6.ko
   1371	    912	      0	   2283	    8eb	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_socket_ipv6.ko
   1070	    897	      0	   1967	    7af	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6table_raw.ko
   5192	    912	     12	   6116	   17e4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_nat_ipv6.ko
    787	   1120	      0	   1907	    773	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_mh.ko
   2185	   2128	      0	   4313	   10d9	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_hbh.ko
   6107	   2232	     96	   8435	   20f3	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_defrag_ipv6.ko
   4444	    920	      0	   5364	   14f4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_log_ipv6.ko
   2618	   1288	      0	   3906	    f42	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_reject_ipv6.ko
    969	    972	      0	   1941	    795	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_ipv6header.ko
    584	    896	      0	   1480	    5c8	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nft_reject_ipv6.ko
   3401	   2712	      0	   6113	   17e1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_rt.ko
    705	    896	      0	   1601	    641	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nft_redir_ipv6.ko
   2561	   1320	      0	   3881	    f29	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_srh.ko
    808	    896	      0	   1704	    6a8	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nft_dup_ipv6.ko
   1026	    888	      0	   1914	    77a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6table_nat.ko
   1523	   1088	      0	   2611	    a33	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_NPT.ko
    970	    897	      0	   1867	    74b	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6table_filter.ko
   1799	   1728	      0	   3527	    dc7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_ah.ko
    676	    832	      0	   1508	    5e4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nft_chain_nat_ipv6.ko
   1193	   1064	      0	   2257	    8d1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_rpfilter.ko
    850	    832	      0	   1682	    692	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nft_chain_route_ipv6.ko
    565	    960	      0	   1525	    5f5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_MASQUERADE.ko
    880	    832	      0	   1712	    6b0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_dup_ipv6.ko
   1072	    896	      0	   1968	    7b0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6table_mangle.ko
    952	   1064	      0	   2016	    7e0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/ip6t_REJECT.ko
   6707	   1912	      4	   8623	   21af	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/netfilter/nf_conntrack_ipv6.ko
   1128	    928	      0	   2056	    808	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/xfrm6_mode_transport.ko
   4564	   1024	     56	   5644	   160c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/mip6.ko
   1371	    916	      0	   2287	    8ef	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/xfrm6_mode_tunnel.ko
   2770	    844	      0	   3614	    e1e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/ipv6/esp6_offload.ko
 147906	   6943	   2112	 156961	  26521	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/batman-adv/batman-adv.ko
  19925	   1704	     16	  21645	   548d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/kcm/kcm.ko
   3659	   1123	      4	   4786	   12b2	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sched/act_mirred.ko
  13536	   1295	      4	  14835	   39f3	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sched/sch_htb.ko
   2043	   1048	      4	   3095	    c17	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/net/sched/act_connmark.ko
